"","year","location","name","predicted.value","std.error","status"
"516","2018","hw","princeton",7.01233571997747,0.175075976913442,"Estimable"
"517","2018","hw","r045",7.22520107832584,0.185077479121305,"Estimable"
"518","2018","hw","secord",7.38118526587157,0.1832958811862,"Estimable"
"519","2018","hw","stanford",6.41658612467547,0.208374508093676,"Estimable"
"520","2018","hw","superior",7.01599339631559,0.200791363736617,"Estimable"
"521","2018","hw","surge",7.15458011440086,0.248828574053286,"Estimable"
"522","2018","hw","tribute",6.81624668201143,0.3117151707432,"Estimable"
"523","2018","hw","ugrc_c2-5",7.24915580372542,0.262347828645504,"Estimable"
"524","2018","hw","ugrc_gl164",6.98597893127392,0.275478354288439,"Estimable"
"525","2018","hw","ugrc_ring",7.435602693333,0.192375870200416,"Estimable"
"526","2018","hw","venture",6.65097071183792,0.203621900091386,"Estimable"
"527","2018","hw","vienna",6.74466374481432,0.226365316569077,"Estimable"
"528","2018","hw","warthog",6.68233770295329,0.221658996672705,"Estimable"
"529","2018","hw","warwick",6.77178724025577,0.3117151707432,"Estimable"
"530","2018","hw","wave",7.22572356170497,0.181242158089711,"Estimable"
"531","2018","hw","wb425",7.44853235442151,0.193282425956496,"Estimable"
"532","2018","hw","wentworth",6.92417642444447,0.184294729278593,"Estimable"
"533","2018","hw","whitebear",6.52893139738863,0.223431571878303,"Estimable"
"534","2018","hw","wisdom",6.93770961920486,0.3117151707432,"Estimable"
"535","2018","id","25r34",6.15438031790525,0.165115459033104,"Estimable"
"536","2018","id","25r39",5.80866370176285,0.158948555669676,"Estimable"
"537","2018","id","25r40",6.19423403491241,0.152913007871774,"Estimable"
"538","2018","id","25r46",5.34987814962783,0.189772039441003,"Estimable"
"539","2018","id","25r47",5.61983462096893,0.158252662954588,"Estimable"
"540","2018","id","25r51",5.42982792477034,0.167766772264469,"Estimable"
"541","2018","id","25r56",5.72293260805999,0.167766772264469,"Estimable"
"542","2018","id","25r61",5.83635722512874,0.239653534802445,"Estimable"
"543","2018","id","25r74",6.24148575132952,0.239653534802445,"Estimable"
"544","2018","id","25w31",5.56928004900079,0.194138708817135,"Estimable"
"545","2018","id","25w36",5.53888744226558,0.196453717220592,"Estimable"
"546","2018","id","25w41",5.60611215703021,0.223107437324312,"Estimable"
"547","2018","id","25w43",5.44313011123367,0.166029570289697,"Estimable"
"548","2018","id","ac_mackinnon",5.4218339156179,0.153517349127796,"Estimable"
"549","2018","id","ac_morley",5.37404272248389,0.125423828349266,"Estimable"
"550","2018","id","ac_mountain",5.42815884409025,0.190419315106927,"Estimable"
"551","2018","id","ac_sampson",5.25028763998354,0.134884825809666,"Estimable"
"552","2018","id","adv_dyno",5.24718412198095,0.190419315106927,"Estimable"
"553","2018","id","arnold",4.77065196600892,0.239653534802445,"Estimable"
"554","2018","id","ashley",5.1981841256515,0.218104062324275,"Estimable"
"555","2018","id","ava",5.82760166195655,0.125894544201244,"Estimable"
"556","2018","id","b654srw",5.98173160290391,0.262421063531101,"Estimable"
"557","2018","id","b743srw",5.23460795889722,0.262421063531101,"Estimable"
"558","2018","id","becher",5.62311694878589,0.170255803234204,"Estimable"
"559","2018","id","benefit",5.34629230111284,0.172296155013251,"Estimable"
"560","2018","id","branson",5.95125806741364,0.125265807190622,"Estimable"
"561","2018","id","brome",4.47533498277481,0.37067764740018,"Estimable"
"562","2018","id","brooklyn",5.69420322351233,0.151329412930782,"Estimable"
"563","2018","id","carlisle",5.13524767896044,0.193163610784295,"Estimable"
"564","2018","id","carnaval",5.83804006049194,0.422989862963596,"Estimable"
"565","2018","id","cm614",5.89415300818216,0.134527611739718,"Estimable"
"566","2018","id","cruze",5.81667801594673,0.186610404797142,"Estimable"
"567","2018","id","curtis",5.00387366838406,0.347291564804259,"Estimable"
"568","2018","id","d8006w",5.57078710166108,0.170255803234203,"Estimable"
"569","2018","id","drew",5.42567931170459,0.188757621439002,"Estimable"
"570","2018","id","ds572srw",6.02965371698154,0.174001619355173,"Estimable"
"571","2018","id","ds654srw",6.3020391982946,0.248981924716486,"Estimable"
"572","2018","id","ds743srw",6.152969753876,0.248981924716486,"Estimable"
"573","2018","id","e0028w",5.66865400622988,0.135749691793134,"Estimable"
"574","2018","id","e1007r",5.62973001599948,0.155228175748364,"Estimable"
"575","2018","id","e1009w",5.46583401119899,0.155228175748364,"Estimable"
"576","2018","id","emmit",5.81529734375508,0.132165606060215,"Estimable"
"577","2018","id","emperor",5.71262377929623,0.14429031946628,"Estimable"
"578","2018","id","frontenac",5.98453149301196,0.23356915569871,"Estimable"
"579","2018","id","ft_wonder",5.22211061463402,0.187849218501327,"Estimable"
"580","2018","id","fthp_redeemer",4.61853265497804,0.218104062324275,"Estimable"
"581","2018","id","gallus",5.6113638231294,0.139651950740709,"Estimable"
"582","2018","id","harvard",5.23349542861877,0.171858390127542,"Estimable"
"583","2018","id","huntley",5.44767070234404,0.158252662954588,"Estimable"
"584","2018","id","hy_116-srw",5.69851039114062,0.147500660664204,"Estimable"
"585","2018","id","hy_271-srw",5.46085686931317,0.197905207405912,"Estimable"
"586","2018","id","hy_300-hrw",5.30028469551625,0.19307587407565,"Estimable"
"587","2018","id","hy_301-hrw",5.46030507760605,0.165169088467836,"Estimable"
"588","2018","id","hy_412-srw",5.77529218235391,0.158654628000595,"Estimable"
"589","2018","id","jdc78",5.76208295555644,0.188757621439002,"Estimable"
"590","2018","id","keldin",5.42625532070004,0.150047936771499,"Estimable"
"591","2018","id","laurel",5.43416452481579,0.218759316449013,"Estimable"
"592","2018","id","lexington",5.31487617752971,0.261510206140151,"Estimable"
"593","2018","id","marker",5.97338103468089,0.151910143814679,"Estimable"
"594","2018","id","maxine",4.93133955323424,0.193163610784295,"Estimable"
"595","2018","id","measure",5.49621617304411,0.212091339523454,"Estimable"
"596","2018","id","ninja",5.31683091455418,0.254319237259129,"Estimable"
"597","2018","id","oac_amber",3.86123987937212,0.177476765018358,"Estimable"
"598","2018","id","oac_emmy",5.39559620610336,0.249559932975816,"Estimable"
"599","2018","id","oac_flight",5.46413715315122,0.155311769682521,"Estimable"
"600","2018","id","oac_snow",4.94028858625451,0.224538104022895,"Estimable"
"601","2018","id","otf013-081",5.09002673089501,0.187849218501327,"Estimable"
"602","2018","id","palmer",5.42868396107706,0.218759316449013,"Estimable"
"603","2018","id","ph55",5.65610547930396,0.14411741853818,"Estimable"
"604","2018","id","priesley",5.8955618262038,0.130950890063172,"Estimable"
"605","2018","id","princeton",5.52028960498821,0.129605268134001,"Estimable"
"606","2018","id","r045",5.73315416317115,0.142791358086094,"Estimable"
"607","2018","id","secord",5.88914056826663,0.140448209013094,"Estimable"
"608","2018","id","stanford",4.9245380383039,0.171858390127542,"Estimable"
"609","2018","id","superior",5.52394682513694,0.162697554312191,"Estimable"
"610","2018","id","surge",5.66253307803991,0.219180043933394,"Estimable"
"611","2018","id","tribute",5.3242003878116,0.288754924078466,"Estimable"
"612","2018","id","ugrc_c2-5",5.75710953584072,0.234328131075072,"Estimable"
"613","2018","id","ugrc_gl164",5.49393438289403,0.248981924716486,"Estimable"
