"","environment","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha"
"138","CODETTE_2019","3","CODETTE","2019","FP2594","3",116,80,NA,6.77,19.75844325
"139","CODETTE_2019","3","CODETTE","2019","AAC Marvelous","3",114,81.5,NA,6.22,19.602674
"140","CODETTE_2019","2","CODETTE","2019","CDC Dorado","3",112,70.5,NA,6.21,19.55783025
"141","CODETTE_2019","1","CODETTE","2019","FP2590","3",115,66.5,NA,6.81,19.542691
"142","CODETTE_2019","2","CODETTE","2019","ND Hammond","3",109,79.5,NA,5.67,19.464627
"143","CODETTE_2019","1","CODETTE","2019","FP2566","3",115,70,NA,6.29,19.425021
"144","CODETTE_2019","2","CODETTE","2019","FP2595","3",114,68.5,NA,6.6,19.41318225
"145","CODETTE_2019","2","CODETTE","2019","FP2592","3",114,82.5,NA,7.08,19.39682325
"146","CODETTE_2019","3","CODETTE","2019","FP2573","3",108,76,NA,6.49,19.14627225
"147","CODETTE_2019","2","CODETTE","2019","Topaz","3",108,66,NA,6.17,18.950036
"148","CODETTE_2019","3","CODETTE","2019","FP2566","3",115,77,NA,6.4,18.68083
"149","CODETTE_2019","3","CODETTE","2019","AAC Bright","3",112,74.5,NA,6.12,18.5305855
"150","CODETTE_2019","1","CODETTE","2019","AAC Bright","3",114,71.5,NA,6.01,18.481365
"151","CODETTE_2019","2","CODETTE","2019","AAC Bright","3",112,74.5,NA,6.22,18.474764
"152","CODETTE_2019","3","CODETTE","2019","CDC Rowland","3",114,74,NA,7.21,18.278169
"153","CODETTE_2019","1","CODETTE","2019","FP2591","3",116,74,NA,7.03,18.17248125
"154","CODETTE_2019","3","CODETTE","2019","CDC Dorado","3",115,75,NA,6.16,17.98865775
"155","CODETTE_2019","2","CODETTE","2019","FP2566","3",114,71.5,NA,6.23,17.90019
"156","CODETTE_2019","1","CODETTE","2019","CDC Bethune","3",111,68.5,NA,6.14,17.8119375
"157","CODETTE_2019","1","CODETTE","2019","CDC Rowland","3",113,72.5,NA,6.9,17.0998905
"158","CODETTE_2019","3","CODETTE","2019","ND Hammond","3",109,77.5,NA,5.61,16.9819335
"159","CODETTE_2019","1","CODETTE","2019","FP2567","3",115,71.5,NA,7.02,16.2744785
"160","CODETTE_2019","2","CODETTE","2019","CDC Bethune","3",111,71.5,NA,6.3,15.9289305
"161","CODETTE_2019","3","CODETTE","2019","CDC Bethune","3",111,69.5,NA,6.21,15.8402475
"162","CODETTE_2019","3","CODETTE","2019","FP2589","3",114,62,NA,7.24,15.713824
"163","CODETTE_2019","1","CODETTE","2019","CDC Glas","3",109,77.5,NA,5.98,15.61947275
"164","CODETTE_2019","3","CODETTE","2019","AAC Prairie Sunshine","3",115,73,NA,5.92,15.49692375
"165","CODETTE_2019","3","CODETTE","2019","CDC Buryu","3",108,75.5,NA,6.06,15.1566135
"166","CODETTE_2019","3","CODETTE","2019","CDC Glas","3",109,71.5,NA,5.81,14.97888875
"167","CODETTE_2019","2","CODETTE","2019","CDC Buryu","3",108,76,NA,6.06,14.6474755
"168","CODETTE_2019","1","CODETTE","2019","Topaz","3",109,74,NA,6.22,14.49063
"169","CODETTE_2019","2","CODETTE","2019","CDC Glas","3",111,71,NA,5.91,13.826799
"170","CODETTE_2019","1","CODETTE","2019","CDC Dorado","3",113,60.5,NA,6.28,13.808718
"171","CODETTE_2019","3","CODETTE","2019","Topaz","3",109,79,NA,6.13,13.3462175
