"","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha","environment"
"107",3,"AVONLEA","2019","FP2590","2",88,64,1,5.98,12.2444692035165,"AVONLEA_2019"
"108",2,"AVONLEA","2019","FP2566","2",94,58,1,5.94,11.6193859305494,"AVONLEA_2019"
"109",3,"AVONLEA","2019","CDC Dorado","2",87,56,1,5.95,11.2238621169231,"AVONLEA_2019"
"110",3,"AVONLEA","2019","AAC Marvelous","2",89,64,1,5.65,11.1219316516484,"AVONLEA_2019"
"111",3,"AVONLEA","2019","AAC Prairie Sunshine","2",89,59,1,5.23,10.9447643884615,"AVONLEA_2019"
"112",3,"AVONLEA","2019","FP2566","2",88,59,1,5.9,10.8092101796703,"AVONLEA_2019"
"113",3,"AVONLEA","2019","FP2589","2",89,63,1,6.53,10.4463856598901,"AVONLEA_2019"
"114",2,"AVONLEA","2019","ND Hammond","2",96,63,1,5.64,10.4008235498901,"AVONLEA_2019"
"115",2,"AVONLEA","2019","CDC Dorado","2",87,55,1,5.78,10.344459956044,"AVONLEA_2019"
"116",2,"AVONLEA","2019","CDC Buryu","2",87,63,1,5.35,10.2477937994505,"AVONLEA_2019"
"117",2,"AVONLEA","2019","FP2591","2",88,63,1,6.01,10.046541032967,"AVONLEA_2019"
"118",2,"AVONLEA","2019","AAC Bright","2",93,54,1,5.86,NA,"AVONLEA_2019"
"119",2,"AVONLEA","2019","CDC Bethune","2",85,56,1,5.39,NA,"AVONLEA_2019"
"120",3,"AVONLEA","2019","CDC Buryu","2",87,59,1,5.65,NA,"AVONLEA_2019"
"121",3,"CODETTE","2019","FP2590","3",115,77.5,NA,6.83,27.2614125,"CODETTE_2019"
"122",2,"CODETTE","2019","FP2593","3",113,73,NA,7.27,25.472685,"CODETTE_2019"
"123",2,"CODETTE","2019","FP2590","3",114,75,NA,6.85,25.0873875,"CODETTE_2019"
"124",3,"CODETTE","2019","FP2595","3",116,78.5,NA,6.51,24.77671,"CODETTE_2019"
"125",2,"CODETTE","2019","FP2594","3",113,74.5,NA,6.57,23.96163,"CODETTE_2019"
"126",2,"CODETTE","2019","AAC Prairie Sunshine","3",114,72.5,NA,5.88,23.9192975,"CODETTE_2019"
"127",3,"CODETTE","2019","FP2592","3",113,75.5,NA,6.9,23.84733225,"CODETTE_2019"
"128",3,"CODETTE","2019","FP2593","3",115,85.5,NA,7.18,23.424366,"CODETTE_2019"
"129",1,"CODETTE","2019","FP2589","3",113,78.5,NA,7.06,23.196201,"CODETTE_2019"
"130",2,"CODETTE","2019","FP2573","3",108,70.5,NA,6.57,22.957991,"CODETTE_2019"
"131",3,"CODETTE","2019","FP2591","3",115,80.5,NA,6.81,21.8018115,"CODETTE_2019"
"132",2,"CODETTE","2019","FP2591","3",115,73,NA,6.74,21.34440525,"CODETTE_2019"
"133",2,"CODETTE","2019","FP2589","3",113,76.5,NA,7.23,21.22257375,"CODETTE_2019"
"134",1,"CODETTE","2019","FP2573","3",108,77.5,NA,6.36,20.97934125,"CODETTE_2019"
"135",2,"CODETTE","2019","CDC Rowland","3",114,70,NA,7.16,20.6595515,"CODETTE_2019"
